ds,month,y,region_Andheri East,region_Andheri West,region_Mira Road East,region_Chembur,region_Goregaon East,"region_Powai, Mumbai",region_Nerul (Navi Mumbai),region_Malad West,region_Thane West,region_Naupada,region_Dombivli,region_Hiranandani Estate,region_Airoli,region_Kopar Khairane (Navi Mumbai),region_Byculla,region_Parel,region_Kharghar (Navi Mumbai),region_Kandivali East,region_Bandra West,region_Vashi,region_Sion,region_Borivali East,region_Lower Parel,region_Bhandup West,region_Virar,region_Kandivali West,region_Santacruz East,region_Borivali West,region_Vasai,region_Goregaon West,"region_Kalyan,West,Mumbai",region_Nalasopara,region_Panvel,"region_Ghatkopar East, Mumbai",region_Bandra East,region_Dadar West,region_Kamothe,region_Palava,region_Colaba,region_Vile Parle West,region_Wadala,"region_Badlapur, Mumbai",region_Tardeo,region_Kurla West,region_Vileparle East,region_Mulund West,region_Bhayandar West,region_Ambernath,region_Ulhasnagar (Mumbai),"region_Ulwe, Mumbai",region_Dahisar West,region_Marine lines,region_Fort,region_Santacruz West,"region_Ghatkopar West, Mumbai",region_Mahim,"region_Kalyan,East (Mumbai)",region_Mulund East,"region_Palava Lakeshore,Mumbai",region_Bhiwandi,"region_Nadhal, Mumbai","region_Boisar, Mumbai","region_Palghar, Mumbai","region_Mumbra, Mumbai","region_Titwala, Mumbai","region_Rasayani, Mumbai","region_Goveli, Mumbai","region_Shirdhon, Mumbai","region_Kothimbe, Mumbai",region_Taloja,"region_Kelwa, Mumbai","region_Haloli, Mumbai",region_Mumbai Ocean,region_Madh,"region_Sanjay Gandhi National Park, Mumbai","region_Wadi, Mumbai",region_Alibaug,region_Navghar,"region_Kanhor, Mumbai",region_Palava Lakeshore 1,"region_Rai Village, Mumbai","region_Rayate, Mumbai","region_Arjunali, Mumbai"
2023-01-01,Jan,66.4928147470577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
2023-01-02,Jan,0.0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
2023-01-03,Jan,32.72671211006912,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2023-01-04,Jan,12.918523062607912,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-01-05,Jan,17.99821748425057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
2023-01-06,Jan,18.8776019550379,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023-01-07,Jan,20.733840888175013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
2023-01-08,Jan,66.95724039365498,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2023-01-09,Jan,15.613354914160539,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
2023-01-10,Jan,17.44631234045485,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
